linkID,Standard,German,English,FNameAbbr,ParentFirm,FirmNote
429,Siebel-Flugzeugwerke GmbH,Siebel-Flugzeugwerke GmbH,,,,
430,Siebenberg GmbH,Siebenberg GmbH,,,,
431,Siemens,Siemens,,,,
432,Siemens & Halske AG,Siemens & Halske AG,,S&H,,
433,Siemens Bauunion,Siemens Bauunion,,,,
434,Siemens Cable Community,Siemens-Kabel-Gemeinschaft,Siemens Cable Community,SKG,,
435,Siemens-Motorwerke,Siemens-Motorwerke,,,,
436,Siemens- Schuckert Works,Siemens-Schukert-Werke,Siemens- Schuckert Works,SSW,,
437,Silva GmbH,Silva GmbH,,,,
438,Solvay-Werke,Solvay-Werke,,,,
439,Spinnstofffabrik Zehlendorf AG,Spinnstofffabrik Zehlendorf AG,,,,
440,Spinnstoffwerken Zehlendorf,Spinnstoffwerken Zehlendorf,,,,
441,Spreewerk GmbH,Spreewerk GmbH,,,,
442,SS and Police Engineering Academy,SS and Police Engineering Academy,,,,
443,SS Deutsche Schieferöl GmbH,SS Deutsche Schieferöl GmbH,,,533.0,
444,SS Main Supply Depot Weichselland,SS Main Supply Depot Weichselland,,,,
445,SS Motorcycle Reserve Batalion,SS Motorcycle Reserve Batalion,,,,
446,SS-Bauleitung Verden,SS-Bauleitung Verden,,,,
447,SS-Führungsstab,SS-Führungsstab,,,,
448,SS-Führungsstab A 8,SS-Führungsstab A 8,,,,
449,SS-Grenadier-Ersatz-Ausbildungs-Bataillon 5,SS-Grenadier-Ersatz-Ausbildungs-Bataillon 5,,,,
450,SS-Heimwehr Barraks,SS-Heimwehr Barraks,,,,
451,SS-Sonderinspektion II,SS-Sonderinspektion II,,,,
452,SS-Weingut-Betriebs-GmbH,SS-Weingut-Betriebs-GmbH,,,,
453,Stahlbau GmbH,Stahlbau GmbH,,,,
454,Standard Electric Company,Standard Electric Company,,,,
455,Stein und Teer,Stein und Teer,,,,
456,Steinbruch Merkel,Steinbruch Merkel,,,,
457,Steinbruchverwertungs-GmbH,Steinbruchverwertungs-GmbH,,,,
458,Steinhage,Steinhage,,,,
459,Steyr-Daimler-Puch AG,Steyr-Daimler-Puch AG,,SDP,,
460,Nitrogen and Potash Works,"Stickstoff- und Kali-Werke, Trostberg",Nitrogen and Potash Works,SKW,,
461,Stigler & Rous,Stigler & Rous,,,,
462,Strassenbaugesellschaft E. Kemna und Co.,Strassenbaugesellschaft E. Kemna und Co.,,,,
463,"Street Construction Enterprises, Inc.",Strassenbauunternehmen AG,"Street Construction Enterprises, Inc.",STUAG,,
464,Stulcken-Werft,Stulcken-Werft,,,,
465,"Sudetenland Mining, Inc.",Sudetenländische Bergbau AG,"Sudetenland Mining, Inc.",Subag,,
466,"Sudetenland Fuel Works, Inc.",Sudetenländische Treibstoffwerke AG,"Sudetenland Fuel Works, Inc.",Sutag,,
467,Sudetenquell GmbH,Sudetenquell GmbH,,,,
468,Synthetische Benzin-Fabrik Mathildenhöhe,Synthetische Benzin-Fabrik Mathildenhöhe,,,,
469,Tanwald Textile Works,Tanwald Textile Works,,,,
470,Tebe und Bucer,Tebe und Bucer,,,,
471,Telefunken,Telefunken,,,,
472,the Erzbergbau Salzgitter GmbH,the Erzbergbau Salzgitter GmbH,,,,
473,The State work Institution Breitenau,The State work Institution Breitenau,,,,
474,Thomae,Thomae,,,,
475,Thomsen & Co.,Thomsen & Co.,,,,
476,Tiefbau,Tiefbau,,,,
477,Tiessler,Tiessler,,,,
478,Trockenkonservenfabrik,Trockenkonservenfabrik,,Trokofa,,
479,Uffing-Seehausen,Uffing-Seehausen,,,,
480,Ulm Company,Ulm Company,,,,
481,United Light Metal Works,United Light Metal Works,,,,
482,United Steel Works,United Steel Works,,,,
483,Universum Film AG,Universum Film AG,,Ufa,,
484,Unterdeichverband,Unterdeichverband,,,,
485,Unternehmung,Unternehmung,,,,
486,Urban,Urban,,,,
487,Valvo,Valvo,,,,
488,VDO-Adlerwerke AG,VDO-Adlerwerke AG,,,,
489,VEB Lausitzer Glass Part I,VEB Lausitzer Glass Part I,,,,
490,United German Metal Works,Vereinigte Deutsche Metallwerke,United German Metal Works,VDM,,
491,"United Upper Silesian Metallurgical Works, Inc.",Vereinigte Oberschlesische Hüttenwerke AG,"United Upper Silesian Metallurgical Works, Inc.",VOH,,
492,Veruschacht,Veruschacht,,,,
493,"Vogtland Machine Factory, Inc.","Vogtländische Maschinenfabrik AG, Plauen","Vogtland Machine Factory, Inc.",Vomag,,
494,"Voigt & Haeffner AG, Werk Linz","Voigt & Haeffner AG, Werk Linz",,,,
495,Volkenreich,Volkenreich,,,,
496,Volkswagen,Volkswagen,,VW,,
497,Volkswagenwerke Dernau,Volkswagenwerke Dernau,,,496.0,
498,Vorwerk Mitte,Vorwerk Mitte,,,,
499,Waffen SS HWL,Waffen SS HWL,,,,
500,Waggonfabrik Steinfurt Königsberg GmbH,Waggonfabrik Steinfurt Königsberg GmbH,,,,
501,Wagner Farm,Wagner Farm,,,,
502,Waldwerke,Waldwerke,,,,
503,Walzer & Co.,Walzer & Co.,,,,
504,Wayss und Freytag AG,Wayss und Freytag AG,,,,
505,Websky,Websky,,,,
506,Wehrmacht,Wehrmacht,,,,
507,Welker,Welker,,,,
508,Werk Hirthmotorenbau,Werk Hirthmotorenbau,,,,
509,Werk Sömmerda,Werk Sömmerda,,,,
510,"Weser Aircraft Construction, Ltd.",Weser Flugzeugbau GmbH,"Weser Aircraft Construction, Ltd.",Weserflug,,
511,Westermann u. Co.,Westermann u. Co.,,,,
512,Westphalian Metal Industry,Westfälische Metallindustrie,Westphalian Metal Industry,WMI,,
513,Wieden und Petersil,Wieden und Petersil,,,,
514,Wiedermann,Wiedermann,,,,
