linkID,Standard,German,English,FNameAbbr,ParentFirm,FirmNote
193,Grün & Bilfinger AG,Grün & Bilfinger AG,,,,
194,Gruneberger Metallgesellschaft mbH ,Gruneberger Metallgesellschaft mbH ,,,536.0,
195,Guben,Guben,,,,
196,Gusen,Gusen,,,,stone quarry
197,Gustloff,Gustloff,,,,
198,H.R. Heincke,H.R. Heincke,,,,
199,Hahn Company,Hahn Company,,,,
200,Hannover Machine Works Inc.,Hannoversche Maschinenbau AG,Hannover Machine Works Inc.,Hanomag,,
201,Hardt,Hardt,,,,
202,Harer,Harer,,,,
203,Hartsteinwerke Vulkan,Hartsteinwerke Vulkan,,,,
204,Havelschmelzwerk GmbH,Havelschmelzwerk GmbH,,,,
205,Hebel Construction Co.,Hebel Construction Co.,,,,
206,Heerbrandt-Werke,Heerbrandt-Werke,,,,
207,Land Army Engineering Corps in Gleiwitz,Heeresbauverwaltung Gleiwitz,Land Army Engineering Corps in Gleiwitz,,,
208,Heinemann & Busse,Heinemann & Busse,,,,
209,Heinrich Mattoni AG Contruction,Heinrich Mattoni AG Contruction,,,,
210,Heinz Wendt machine Factory,Heinz Wendt machine Factory,,,,
211,Helmuth Sachse KG,Helmuth Sachse KG,,,,
212,Henschel Aircraft Work,Henschel- Flugzeug- Werke,Henschel Aircraft Work,HFW,,
213,Herber Company,Herber Company,,,,
214,Hildebrand und Frey Company,Hildebrand und Frey Company,,,,
215,Himmelstoss & Sittner,Himmelstoss & Sittner,,,,
216,Hoch- und Tiefbau,Hoch- und Tiefbau,,,,
217,Hoch- und Tiefbau AG,Hoch- und Tiefbau AG,,,,
218,Hochtief AG ,Hochtief AG ,,,,
219,Hoffmannswerke/Bielitz,Hoffmannswerke/Bielitz,,,,
220,Hofherr & Schrantz,Hofherr & Schrantz,,,,
221,Hofmann & Maculan,Hofmann & Maculan,,,,
222,Holzman Company,Holzman Company,,,,
223,Holzmann,Holzmann,,,,
224,Horst Dylla,Horst Dylla,,,,
225,Hotze,Hotze,,,,
226,Howaldtwerke,Howaldtwerke,,,,
227,Hübsch,Hübsch,,,,
228,Huth,Huth,,,,
229,Hütte Linz,Hütte Linz,,,,
230,Hüttenwerkverwaltung Westmark GmbH,Hüttenwerkverwaltung Westmark GmbH,,,,
231,Hutto,Hutto,,,,
232,Hydrierwerke AG,Hydrierwerke AG,,,,
233,I. G. Farbenindustrie AG,I. G. Farbenindustrie AG,,IG Farben,,
234,"I. G. Farbenindustrie AG, Filmfabrik Wolfen","I. G. Farbenindustrie AG, Filmfabrik Wolfen",,,233.0,
235,"I. G. Farbenindustrie AG, Phrix-Werke","I. G. Farbenindustrie AG, Phrix-Werke",,,233.0,
236,Industriewerke AG,Industriewerke AG,,,,
237,Schlempp Engineering Office,Ingenieurbüro Schlempp,Schlempp Engineering Office,,,
238,J.A. Kluge und Etrich,J.A. Kluge und Etrich,,,,
239,J.C. Dittgen KG,J.C. Dittgen KG,,,,
240,J.C. Müller & Co.,J.C. Müller & Co.,,,,
241,Jank,Jank,,,,
242,Johann Etrich K. G.,Johann Etrich K. G.,,,,
243,Johannisberg GmbH,Johannisberg GmbH,,,,
244,Julius Berger,Julius Berger,,,,
245,Jung Mineralöl-Werke,Jung Mineralöl-Werke,,,,
246,"Junkers Aircraft and Motor Works Company, Inc.",Junkers Flugzeug- und Motorenwerke AG,"Junkers Aircraft and Motor Works Company, Inc.",JFM,,
247,Junkers Flugzeug- und Motorenwerke AG Zweigwerk Schonebeck,Junkers Flugzeug- und Motorenwerke AG Zweigwerk Schonebeck,,,246.0,
248,"Cable and Conductor Works, Inc.",Kabel- und Leitungswerke AG,"Cable and Conductor Works, Inc.",KALAG,,
249,Kabel-Metall-Neumeyer,Kabel-Metall-Neumeyer,,,,
250,Kali-Werk Georgi,Kali-Werk Georgi,,,,
251,Kalkspat K.G.,Kalkspat K.G.,,,,
252,"Karl Budde, Dampfsäge und Hobelwerk","Karl Budde, Dampfsäge und Hobelwerk",,,,Steam Saw and Planing Mill
253,Karl Stohr,Karl Stohr,,,,
254,Kastenhof,Kastenhof,,,,stone quarry
255,Keller & Knappich,Keller & Knappich,,,,
256,Kelterborn & Stenvers,Kelterborn & Stenvers,,,,
257,Kemper Werkstätte für Panzer- und Kriegsfahrzeugbau,Kemper Werkstätte für Panzer- und Kriegsfahrzeugbau,,,,
258,Kieferling,Kieferling,,,,
259,Kirchoff,Kirchoff,,,,
260,Kirsch,Kirsch,,,,saw mill
261,Kläranlage und Ziegelei Berlstedt bei Weimar,Kläranlage und Ziegelei Berlstedt bei Weimar,,,,
262,Kleineisenwerk am Gittertor,Kleineisenwerk am Gittertor,,,402.0,
263,Klöckner Flugmotorenbau GmbH,Klöckner Flugmotorenbau GmbH,,,,
264,Klöckner-Humboldt-Deutz AG,Klöckner-Humboldt-Deutz AG,,,,
265,Knittel,Knittel,,,,
266,Koder,Koder,,,,
267,Koller,Koller,,,,
268,Konrad,Konrad,,,,
269,Kowal & Bruns,Kowal & Bruns,,,,
270,Kramsta-Methner und Frahne AG,Kramsta-Methner und Frahne AG,,,,
271,Kraus & Co.,Kraus & Co.,,,,
272,Krause,Krause,,,,
273,"Krause, Schallhorn und Eule","Krause, Schallhorn und Eule",,,,
274,Kriegsmarinewerft,Kriegsmarinewerft,,,,
275,Krondorf-Sauerbrunn,Krondorf-Sauerbrunn,,,,
276,Kuhnpast,Kuhnpast,,,,
277,Kunigals,Kunigals,,,,
278,Kunnith,Kunnith,,,,
279,Kuno-Forest Factory,Kuno-Forest Factory,,,,
280,Kuppers Company,Kuppers Company,,,,
281,"Kurmark Rayon and Cellulose, Inc.",Kurmärkische Zellwolle und Zellulose AG,"Kurmark Rayon and Cellulose, Inc.",KZZW,,
282,Kurt Hodermann,Kurt Hodermann,,,,
283,Kurt Laske Furniture Factory,Kurt Laske Furniture Factory,,,,
284,L. Bautz Co.,L. Bautz Co.,,,,
285,L. Ehrengut,L. Ehrengut,,,,
286,Lam,Lam,,,,
287,Landesverein Arbeiterkolonien of the Inner Mission of the Protestant church of Baden,Landesverein Arbeiterkolonien of the Inner Mission of the Protestant church of Baden,,,,
288,Landesverein für Innere Mission in Schleswig-Holstein,Landesverein für Innere Mission in Schleswig-Holstein,,,,ran by the Evangelical State Church
289,Lang & Manhoffer,Lang & Manhoffer,,,,
290,Latzel & Kutscha,Latzel & Kutscha,,,,
291,Laubach,Laubach,,,,
292,Lebensborn e. V,Lebensborn e. V,,,,
293,Lebensbornheim,Lebensbornheim,,,,
294,Lehmann ,Lehmann ,,,,
295,Lehnitz Brick works,Lehnitz Brick works,,,,
296,Leistikoff,Leistikoff,,,,
297,Leng-Werke,Leng-Werke,,,,
298,Lenz,Lenz,,,,
299,Leonhard Moll,Leonhard Moll,,,,
300,Lias,Lias,,,,
301,Lieberose,Lieberose,,,,
302,Lingen,Lingen,,,,
303,Linke Hofmann Werke,Linke Hofmann Werke,,,,
304,Lippstadt Iron and Metal Works,Lippstadt Eisen- und Metallwerke,Lippstadt Iron and Metal Works,LEM,,
305,Lodenfrey GmbH,Lodenfrey GmbH,,,,
306,Low Beer Textile company,Low Beer Textile company,,,,
307,Aviation Equipment Ltd.,Luftfahrtgeräte GmbH,Aviation Equipment Ltd.,Lufag,,alternatively: Luftfahrtgerätegesellschaft (Aviation Equipment Company)
308,"Aircraft Equipment Works Hakenfelde, Ltd.",Luftfahrtgerätewerk Hakenfelde GmbH,"Aircraft Equipment Works Hakenfelde, Ltd.",LGW,432.0,
309,Luftschiffbau Zeppelin GmbH,Luftschiffbau Zeppelin GmbH,,,,
310,Luftwaffe,Luftwaffe,,,,munitions
311,Luning & Sohn,Luning & Sohn,,,,
312,Luranil Company,Luranil Company,,,,
313,Luranil-Baugesellschaft mbH,Luranil-Baugesellschaft mbH,,,233.0,
314,M. Wagner,M. Wagner,,,,
315,Madebrun,Madebrun,,,,
316,Magirus Company,Magirus Company,,,,
317,Mahal & Co.,Mahal & Co.,,,,
318,Markische Walzwerk GmbH,Markische Walzwerk GmbH,,,,
319,Martin Wiess,Martin Wiess,,,,
320,Maschinenfabriken Friedrich Krupp Berthawerk AG,Maschinenfabriken Friedrich Krupp Berthawerk AG,,,166.0,
321,Mattes,Mattes,,,,
322,Max Treder & Co.,Max Treder & Co.,,,,
323,Max-Gehrt-Werken,Max-Gehrt-Werken,,,,
324,Mayreder & Co.,Mayreder & Co.,,,,
325,Mech.- und Drahtseilfabrik Elbing,Mech.- und Drahtseilfabrik Elbing,,,,
326,Mechanik GmbH Rochlitz ,Mechanik GmbH Rochlitz ,,,537.0,
327,"Neubrandenburg Mechanical Repairs, Ltd.",Mechanische Werkstätten GmbH Neubrandenburg,"Neubrandenburg Mechanical Repairs, Ltd.",MWN,,
